type,url,img,name,img_ratio
gold,https://www.poolparty.biz/,pp.svg,PoolParty,64/16
gold,https://www.taxonic.com/en/,Taxonic.png,Taxonic,60/28
gold,https://metaphacts.com/,metaphacts.png,Metaphacts,48/28
silver,https://pantopix.com,pantopix.png,Pantopix,64/16
silver,https://triply.cc,triply.png,Triply,48/20
startup,https://www.semanticpartners.com,sp.png,Semantic Partners,28/28
silver,https://redpencil.io/,rpio.png,RPIO,64/12
silver,https://www.ontotext.com,ontotext.png,Pantopix,64/12
startup,https://modeldesk.io/,ModelDesk.png,ModelDesk,64/20
silver,https://www.oxfordsemantic.tech/,ost.svg,Oxford Semantic Technologies,60/28
gold,https://www.soprasteria.com/,SOPRASTERIA.png,Sopra Steria,48/48
startup,https://meaningfy.ws/,Meaningfy.svg,Meaningfy,60/28
bronze,https://www.globalgoals.ai/,AIforGlobalGoals.png,AI for Global Goals,48/48
bronze,https://www.elsevier.com/locate/artint,ARTINT.jpg,Artificial Intelligence,64/48
silver,https://the-qa-company.com/,qa.png,The QA Company,48/48

